"Prison Sentence In Years","M count","M Col %","M Row %","F count","F Col %","F Row %","Total","Col %"
"0 - 1","443","0.91%","92.68%","35","0.88%","7.32%","478","0.9%"
"1.1 - 2","551","1.13%","91.99%","48","1.2%","8.01%","599","1.13%"
"2.1 - 3","784","1.61%","85.03%","138","3.46%","14.97%","922","1.75%"
"3.1 - 4","731","1.5%","87.34%","106","2.65%","12.66%","837","1.58%"
"4.1 - 5","1,502","3.08%","89.46%","177","4.43%","10.54%","1,679","3.18%"
"5.1 - 6","823","1.69%","88.21%","110","2.75%","11.79%","933","1.77%"
"6.1 - 7","808","1.65%","92.24%","68","1.7%","7.76%","876","1.66%"
"7.1 - 8","958","1.96%","92.2%","81","2.03%","7.8%","1,039","1.97%"
"8.1 - 9","1,138","2.33%","91.26%","109","2.73%","8.74%","1,247","2.36%"
"9.1 - 10","2,888","5.91%","88.7%","368","9.21%","11.3%","3,256","6.16%"
"10.1 - 12","1,840","3.77%","92.32%","153","3.83%","7.68%","1,993","3.77%"
"12.1 - 15","4,287","8.78%","90.88%","430","10.77%","9.12%","4,717","8.93%"
"15.1 - 20","8,876","18.18%","92.25%","746","18.68%","7.75%","9,622","18.21%"
"20.1 - Over","13,370","27.38%","93.65%","907","22.71%","6.35%","14,277","27.03%"
"Life","7,581","15.52%","94.61%","432","10.82%","5.39%","8,013","15.17%"
"Life Without Parole","2,181","4.47%","96.42%","81","2.03%","3.58%","2,262","4.28%"
"Death","32","0.07%","96.97%","1","0.03%","3.03%","33","0.06%"
"Youthful Offenders","40","0.08%","90.91%","4","0.1%","9.09%","44","0.08%"
"Total Reported","48,833","100.00%","92.44%","3,994","100.00%","7.56%","52,827","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,833","","","3,994","","","52,827",""
