"Prison Sentence In Years","M count","M Col %","M Row %","F count","F Col %","F Row %","Total","Col %"
"0 - 1","458","0.93%","93.09%","34","0.84%","6.91%","492","0.92%"
"1.1 - 2","580","1.18%","91.63%","53","1.31%","8.37%","633","1.19%"
"2.1 - 3","821","1.67%","85.17%","143","3.52%","14.83%","964","1.81%"
"3.1 - 4","739","1.5%","87.46%","106","2.61%","12.54%","845","1.58%"
"4.1 - 5","1,497","3.04%","89.16%","182","4.48%","10.84%","1,679","3.15%"
"5.1 - 6","840","1.7%","88.7%","107","2.63%","11.3%","947","1.78%"
"6.1 - 7","836","1.7%","92.07%","72","1.77%","7.93%","908","1.7%"
"7.1 - 8","955","1.94%","91.83%","85","2.09%","8.17%","1,040","1.95%"
"8.1 - 9","1,141","2.32%","91.79%","102","2.51%","8.21%","1,243","2.33%"
"9.1 - 10","2,938","5.96%","88.87%","368","9.06%","11.13%","3,306","6.2%"
"10.1 - 12","1,869","3.79%","92.11%","160","3.94%","7.89%","2,029","3.8%"
"12.1 - 15","4,261","8.65%","90.6%","442","10.88%","9.4%","4,703","8.82%"
"15.1 - 20","8,932","18.13%","92.22%","754","18.57%","7.78%","9,686","18.16%"
"20.1 - Over","13,533","27.46%","93.54%","934","23.0%","6.46%","14,467","27.12%"
"Life","7,591","15.4%","94.62%","432","10.64%","5.38%","8,023","15.04%"
"Life Without Parole","2,215","4.49%","96.35%","84","2.07%","3.65%","2,299","4.31%"
"Death","32","0.06%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","39","0.08%","95.12%","2","0.05%","4.88%","41","0.08%"
"Total Reported","49,277","100.00%","92.39%","4,061","100.00%","7.61%","53,338","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,277","","","4,061","","","53,338",""
