"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","438","0.93%","92.80%","34","0.92%","7.20%","472","0.93%"
"1.1 - 2","556","1.18%","90.11%","61","1.66%","9.89%","617","1.22%"
"2.1 - 3","819","1.74%","86.12%","132","3.59%","13.88%","951","1.88%"
"3.1 - 4","683","1.45%","91.19%","66","1.79%","8.81%","749","1.48%"
"4.1 - 5","1,477","3.14%","90.28%","159","4.32%","9.72%","1,636","3.23%"
"5.1 - 6","844","1.80%","88.75%","107","2.91%","11.25%","951","1.88%"
"6.1 - 7","867","1.84%","89.75%","99","2.69%","10.25%","966","1.91%"
"7.1 - 8","928","1.97%","91.88%","82","2.23%","8.12%","1,010","1.99%"
"8.1 - 9","1,115","2.37%","93.46%","78","2.12%","6.54%","1,193","2.35%"
"9.1 - 10","2,842","6.05%","89.09%","348","9.45%","10.91%","3,190","6.29%"
"10.1 - 12","1,753","3.73%","92.21%","148","4.02%","7.79%","1,901","3.75%"
"12.1 - 15","4,178","8.89%","91.34%","396","10.76%","8.66%","4,574","9.02%"
"15.1 - 20","8,596","18.28%","92.35%","712","19.34%","7.65%","9,308","18.36%"
"20.1 - Over","12,509","26.61%","94.01%","797","21.65%","5.99%","13,306","26.25%"
"Life","7,414","15.77%","94.98%","392","10.65%","5.02%","7,806","15.40%"
"Life Without Parole","1,917","4.08%","96.62%","67","1.82%","3.38%","1,984","3.91%"
"Death","36","0.08%","97.30%","1","0.03%","2.70%","37","0.07%"
"Youthful Offenders","41","0.09%","93.18%","3","0.08%","6.82%","44","0.09%"
"Total Reported","47,013","100%","92.74%","3,682","100.0%","7.26%","50,695","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,013","","","3,682","","","50,695",""
