"Prison Sentence In Years","M Count","M Col Percent","M Row Percent","F Count","F Col Percent","F Row Percent","Total","Total percent"
"0 - 1","460","0.94%","92.18%","39","0.98%","7.82%","499","0.95%"
"1.1 - 2","564","1.16%","92.31%","47","1.18%","7.69%","611","1.16%"
"2.1 - 3","797","1.63%","86.16%","128","3.22%","13.84%","925","1.75%"
"3.1 - 4","760","1.56%","88.17%","102","2.56%","11.83%","862","1.63%"
"4.1 - 5","1,503","3.08%","90.32%","161","4.05%","9.68%","1,664","3.15%"
"5.1 - 6","824","1.69%","88.13%","111","2.79%","11.87%","935","1.77%"
"6.1 - 7","844","1.73%","91.64%","77","1.94%","8.36%","921","1.74%"
"7.1 - 8","962","1.97%","91.79%","86","2.16%","8.21%","1,048","1.98%"
"8.1 - 9","1,134","2.32%","91.67%","103","2.59%","8.33%","1,237","2.34%"
"9.1 - 10","2,917","5.97%","88.58%","376","9.45%","11.42%","3,293","6.24%"
"10.1 - 12","1,837","3.76%","92.27%","154","3.87%","7.73%","1,991","3.77%"
"12.1 - 15","4,282","8.77%","90.91%","428","10.76%","9.09%","4,710","8.92%"
"15.1 - 20","8,850","18.13%","92.06%","763","19.19%","7.94%","9,613","18.21%"
"20.1 - Over","13,275","27.19%","93.70%","892","22.43%","6.30%","14,167","26.83%"
"Life","7,584","15.53%","94.67%","427","10.74%","5.33%","8,011","15.17%"
"Life Without Parole","2,161","4.43%","96.43%","80","2.01%","3.57%","2,241","4.24%"
"Death","32","0.07%","96.97%","1","0.03%","3.03%","33","0.06%"
"Youthful Offenders","41","0.08%","95.35%","2","0.05%","4.65%","43","0.08%"
"Total Reported","48,827","100%","92.47%","3,977","100%","7.53%","52,804","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,827","","","3,977","","","52,804",""
