"Prison Sentence In Years","M count","M Col %","M Row %","F count","F Col %","F Row %","Total","Col %"
"0 - 1","469","0.95%","93.06%","35","0.87%","6.94%","504","0.94%"
"1.1 - 2","571","1.16%","91.07%","56","1.38%","8.93%","627","1.18%"
"2.1 - 3","820","1.66%","86.13%","132","3.26%","13.87%","952","1.78%"
"3.1 - 4","739","1.5%","87.25%","108","2.67%","12.75%","847","1.59%"
"4.1 - 5","1,492","3.03%","89.34%","178","4.4%","10.66%","1,670","3.13%"
"5.1 - 6","860","1.74%","88.21%","115","2.84%","11.79%","975","1.83%"
"6.1 - 7","835","1.69%","92.47%","68","1.68%","7.53%","903","1.69%"
"7.1 - 8","941","1.91%","91.98%","82","2.03%","8.02%","1,023","1.92%"
"8.1 - 9","1,161","2.36%","92.0%","101","2.5%","8.0%","1,262","2.37%"
"9.1 - 10","2,941","5.97%","88.83%","370","9.14%","11.17%","3,311","6.21%"
"10.1 - 12","1,882","3.82%","92.16%","160","3.95%","7.84%","2,042","3.83%"
"12.1 - 15","4,309","8.74%","90.75%","439","10.85%","9.25%","4,748","8.9%"
"15.1 - 20","8,920","18.09%","92.17%","758","18.73%","7.83%","9,678","18.14%"
"20.1 - Over","13,487","27.36%","93.59%","923","22.81%","6.41%","14,410","27.01%"
"Life","7,587","15.39%","94.59%","434","10.73%","5.41%","8,021","15.04%"
"Life Without Parole","2,208","4.48%","96.34%","84","2.08%","3.66%","2,292","4.3%"
"Death","32","0.06%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","44","0.09%","95.65%","2","0.05%","4.35%","46","0.09%"
"Total Reported","49,298","100.00%","92.42%","4,046","100.00%","7.58%","53,344","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,298","","","4,046","","","53,344",""
