"Prison Sentence In Years","M count","M Col %","M Row %","F count","F Col %","F Row %","Total","Col %"
"0 - 1","459","0.93%","92.17%","39","0.97%","7.83%","498","0.94%"
"1.1 - 2","564","1.15%","91.56%","52","1.29%","8.44%","616","1.16%"
"2.1 - 3","806","1.64%","85.29%","139","3.44%","14.71%","945","1.78%"
"3.1 - 4","747","1.52%","87.78%","104","2.57%","12.22%","851","1.6%"
"4.1 - 5","1,505","3.06%","89.8%","171","4.23%","10.2%","1,676","3.15%"
"5.1 - 6","834","1.7%","88.25%","111","2.75%","11.75%","945","1.78%"
"6.1 - 7","831","1.69%","92.03%","72","1.78%","7.97%","903","1.7%"
"7.1 - 8","949","1.93%","92.05%","82","2.03%","7.95%","1,031","1.94%"
"8.1 - 9","1,161","2.36%","91.56%","107","2.65%","8.44%","1,268","2.38%"
"9.1 - 10","2,914","5.93%","88.73%","370","9.16%","11.27%","3,284","6.17%"
"10.1 - 12","1,861","3.79%","92.13%","159","3.94%","7.87%","2,020","3.8%"
"12.1 - 15","4,298","8.74%","90.77%","437","10.82%","9.23%","4,735","8.9%"
"15.1 - 20","8,920","18.15%","92.09%","766","18.97%","7.91%","9,686","18.21%"
"20.1 - Over","13,445","27.36%","93.65%","912","22.58%","6.35%","14,357","26.99%"
"Life","7,582","15.43%","94.61%","432","10.7%","5.39%","8,014","15.07%"
"Life Without Parole","2,196","4.47%","96.36%","83","2.05%","3.64%","2,279","4.28%"
"Death","32","0.07%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","46","0.09%","95.83%","2","0.05%","4.17%","48","0.09%"
"Total Reported","49,150","100.00%","92.41%","4,039","100.00%","7.59%","53,189","100.00%"
