"Prison Sentence In Years","M count","M Col %","M Row %","F count","F Col %","F Row %","Total","Col %"
"0 - 1","459","0.94%","92.35%","38","0.95%","7.65%","497","0.94%"
"1.1 - 2","561","1.15%","91.82%","50","1.25%","8.18%","611","1.16%"
"2.1 - 3","807","1.65%","85.4%","138","3.44%","14.6%","945","1.79%"
"3.1 - 4","738","1.51%","87.23%","108","2.69%","12.77%","846","1.6%"
"4.1 - 5","1,504","3.08%","89.84%","170","4.24%","10.16%","1,674","3.16%"
"5.1 - 6","830","1.7%","88.39%","109","2.72%","11.61%","939","1.78%"
"6.1 - 7","825","1.69%","91.77%","74","1.85%","8.23%","899","1.7%"
"7.1 - 8","973","1.99%","92.23%","82","2.05%","7.77%","1,055","1.99%"
"8.1 - 9","1,134","2.32%","91.3%","108","2.69%","8.7%","1,242","2.35%"
"9.1 - 10","2,926","5.99%","88.75%","371","9.26%","11.25%","3,297","6.23%"
"10.1 - 12","1,828","3.74%","92.46%","149","3.72%","7.54%","1,977","3.74%"
"12.1 - 15","4,309","8.81%","90.83%","435","10.85%","9.17%","4,744","8.97%"
"15.1 - 20","8,841","18.09%","92.01%","768","19.16%","7.99%","9,609","18.17%"
"20.1 - Over","13,309","27.23%","93.71%","894","22.31%","6.29%","14,203","26.85%"
"Life","7,591","15.53%","94.64%","430","10.73%","5.36%","8,021","15.17%"
"Life Without Parole","2,176","4.45%","96.45%","80","2.0%","3.55%","2,256","4.27%"
"Death","32","0.07%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","40","0.08%","93.02%","3","0.07%","6.98%","43","0.08%"
"Total Reported","48,883","100.00%","92.42%","4,008","100.00%","7.58%","52,891","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,883","","","4,008","","","52,891",""
