report,id,age_page_no
2005-07,28489157,4
2005-08,28489602,5
2005-09,28489601,6
2005-10,28489127,6
2005-11,28489124,6
2005-12,28489156,5
2006-01,28489338,5
2006-02,28489308,5
2006-03,28489317,5
2006-04,28489376,5
2006-05,28489384,5
2006-06,28489425,5
2006-07,28489418,5
2006-08,28489241,5
2006-09,28489249,5
2006-10,28489375,5
2006-11,28489385,5
2006-12,28489424,5
2007-01,28489135,5
2007-02,28489162,5
2007-03,28489149,5
2007-04,28489218,5
2007-05,28489193,5
2007-06,28489167,5
2007-07,28489189,5
2007-08,28489515,5
2007-09,28489433,5
2007-10,28489219,5
2007-11,28489192,5
2007-12,28489168,5
2008-01,28489374,5
2008-02,28489417,5
2008-03,28489426,5
2008-04,28489339,5
2008-05,28489347,5
2008-06,28489315,5
2008-07,28489309,5
2008-08,28489270,5
2008-09,28489274,5
2008-10,28489340,5
2008-11,28489346,5
2008-12,28489316,5
2009-01,28489217,5
2009-02,28489188,5
2009-03,28489169,5
2009-04,28489137,5
2009-06,28489148,5
2009-07,28489163,5
2009-08,28489612,5
2009-09,28489576,5
2009-10,28489136,5
2009-11,28489117,5
2009-12,28489147,5
2010-01,28489608,5
2010-02,28489571,5
2010-03,28489562,5
2010-04,28489513,5
2010-05,28489435,5
2010-06,28489519,5
2010-07,28489556,5
2010-08,28489216,5
2010-09,28489194,5
2010-10,28489514,5
2010-11,28489434,5
2010-12,28489520,5
2011-01,28489271,5
2011-02,28489288,5
2011-03,28489289,5
2011-04,28489245,5
2011-05,28489246,5
2011-06,28489226,5
2011-07,28489224,5
2011-08,28489380,5
2011-09,28489381,5
2011-10,28489244,5
2011-11,28489247,5
2011-12,28489225,5
2012-01,28489510,5
2012-02,28489555,5
2012-03,28489521,5
2012-04,28489606,5
2012-05,28489598,5
2012-06,28489563,5
2012-07,28489570,5
2012-08,28489130,5
2012-09,28489121,5
2012-10,28489607,5
2012-11,28489597,5
2012-12,28489564,5
2013-01,28489236,5
2013-02,28489220,5
2013-03,28489235,5
2013-04,28489256,5
2013-05,28489281,5
2013-06,28489302,5
2013-07,28489283,5
2013-08,28489331,5
2013-09,28489367,5
2013-10,28489255,5
2013-11,28489282,5
2013-12,28489301,5
2014-01,28489330,5
2014-02,28489303,5
2014-03,28489329,5
2014-04,28489368,5
2014-05,28489411,5
2014-06,28489430,5
2014-08,28489237,5
2014-09,28489254,5
2014-10,28489369,4
2014-11,28489390,4
2014-12,28489431,4
2015-01,28489129,4
2015-02,28489159,4
2015-03,28489153,4
2015-04,28489212,4
2015-05,28489197,4
2015-06,28489179,4
2015-07,28489185,4
2015-08,28489511,4
2015-09,28489502,4
2015-10,28489211,4
2015-11,28489198,4
2015-12,28489178,4
2016-01,28489379,4
2016-02,28489420,4
2016-03,28489421,4
2016-04,28489341,4
2016-05,28489345,4
2016-06,28489313,4
2016-07,28489310,4
2016-08,28489272,4
2016-09,28489273,4
2016-10,28489342,4
2016-11,28489344,4
2016-12,28489314,4
2017-01,28489215,4
2017-02,28489187,4
2017-03,28489175,4
2017-04,28489132,4
2017-05,28489119,4
2017-06,28489152,4
2017-07,28489160,4
2017-08,28489609,4
2017-09,28489596,4
2017-10,28489131,4
2017-11,28489120,4
2017-12,28489151,4
2018-01,28489343,4
2018-02,28489311,4
2018-03,28489312,4
2018-04,28489378,4
2018-05,28489382,4
2018-06,28489423,4
2018-07,28489419,4
2018-08,28489243,5
2018-09,28489248,4
2018-10,28489377,4
2018-11,28489383,4
2018-12,28489422,4
2019-01,28489133,4
2019-02,28489161,4
2019-03,28489150,4
2019-04,28489213,4
2019-05,28489196,4
2019-06,28489176,4
2019-07,28489186,4
2019-08,28489512,4
2019-09,28489501,4
2019-10,28489214,4
2019-11,28489195,4
2019-12,28489177,4
2020-01,28489386,4
2020-02,28489427,4
2020-03,28489416,4
2020-04,28489349,4
2020-05,28489336,4
2020-06,28489306,4
2020-07,28489318,4
2020-08,28489277,4
2020-09,28489267,4
2020-10,28489350,4
2020-11,28489335,4
2020-12,28489307,4
2021-01,28489191,4
2021-02,28489166,4
2021-03,28489190,4
2021-04,28489115,4
2021-05,28489138,4
2021-06,28489165,4
2021-07,28489146,4
2021-08,28489574,4
2021-09,28489613,4
2021-10,28489114,4
2021-11,28489145,4
2021-12,28489164,4
2022-01,28489366,4
2022-02,28489321,4
2022-03,28489304,4
2022-04,28489388,4
2022-05,28489371,4
2022-06,28489413,4
2022-07,28489429,4
2022-08,28489252,4
2022-09,28489238,4
2022-10,28489389,4
2022-11,28489370,4
2022-12,28489414,4
2023-01,28489123,4
2023-02,28489154,4
2023-03,28489158,4
2023-04,28489205,4
2023-05,28489209,4
2023-06,28489184,4
2023-07,28489180,4
2023-08,28489503,4
2023-09,28489509,4
2023-10,28489199,4
2023-11,28489210,4
2023-12,28489183,4
2024-01,28489504,4
2024-02,28489522,4
2024-03,28489554,4
2024-04,28489599,4
2024-05,28489605,4
2024-06,28489568,4
2024-07,28489565,4
2024-08,28489122,4
2024-09,28489128,4
2024-10,28489600,4
2024-11,28489604,4
2024-12,28489569,4
2025-01,28489253,4
2025-02,28489234,4
2025-03,28489221,4
2025-04,28489280,4
2025-05,28489257,4
2025-06,28489285,4
2025-07,28489300,4
2025-08,28489353,4
2025-10,28489279,4
2025-11,28489258,4
2025-12,28489284,4
2026-01,28489575,4
2026-02,28489559,4
2026-03,28489573,4
2026-04,28489432,4
2026-05,28489517,4
2026-06,28489558,4
