dc_title,dc_id,dc_page_number
monthly-report_2000-05,28489577,7
monthly-report_2000-06,28489561,7
monthly-report_2000-07,28489572,7
monthly-report_2000-08,28489134,7
monthly-report_2000-09,28489118,7
monthly-report_2000-10,28489610,7
monthly-report_2000-11,28489578,7
monthly-report_2000-12,28489560,7
monthly-report_2001-01,28489242,7
monthly-report_2001-02,28489223,7
monthly-report_2001-03,28489227,7
monthly-report_2001-04,28489268,7
monthly-report_2001-05,28489276,7
monthly-report_2001-06,28489297,7
monthly-report_2001-07,28489287,7
monthly-report_2001-08,28489337,7
monthly-report_2001-09,28489348,7
monthly-report_2001-10,28489269,7
monthly-report_2001-11,28489275,7
monthly-report_2001-12,28489298,7
monthly-report_2002-01,28489603,7
monthly-report_2002-02,28489567,7
monthly-report_2002-03,28489566,7
monthly-report_2002-04,28489508,7
monthly-report_2002-05,28489505,7
monthly-report_2002-06,28489524,7
monthly-report_2002-07,28489525,7
monthly-report_2002-08,28489207,7
monthly-report_2002-09,28489206,7
monthly-report_2002-10,28489507,7
monthly-report_2002-11,28489506,7
monthly-report_2002-12,28489523,7
monthly-report_2003-01,28489266,42
monthly-report_2003-02,28489286,42
monthly-report_2003-03,28489299,42
monthly-report_2003-04,28489239,42
monthly-report_2003-05,28489251,42
monthly-report_2003-06,28489228,42
monthly-report_2003-07,28489222,42
monthly-report_2003-08,28489372,44
monthly-report_2003-09,28489387,42
monthly-report_2003-10,28489240,44
monthly-report_2003-11,28489250,42
monthly-report_2003-12,28489229,42
monthly-report_2004-01,28489373,42
monthly-report_2004-02,28489415,42
monthly-report_2004-03,28489428,42
monthly-report_2004-04,28489334,42
monthly-report_2004-05,28489351,42
monthly-report_2004-06,28489320,42
monthly-report_2004-07,28489305,42
monthly-report_2004-08,28489265,49
monthly-report_2004-10,28489333,42
monthly-report_2004-11,28489352,143
monthly-report_2004-12,28489319,42
monthly-report_2005-01,28489208,42
monthly-report_2005-02,28489182,42
monthly-report_2005-03,28489181,42
monthly-report_2005-04,28489126,42
monthly-report_2005-05,28489125,42
monthly-report_2005-06,28489155,42
monthly-report_2005-07,28489157,60
monthly-report_2005-08,28489602,68
monthly-report_2005-09,28489601,70
monthly-report_2005-10,28489127,71
monthly-report_2005-11,28489124,71
monthly-report_2005-12,28489156,70
monthly-report_2006-01,28489338,70
monthly-report_2006-02,28489308,68
monthly-report_2006-03,28489317,69
monthly-report_2006-04,28489376,67
monthly-report_2006-05,28489384,67
monthly-report_2006-06,28489425,66
monthly-report_2006-07,28489418,68
monthly-report_2006-08,28489241,69
monthly-report_2006-09,28489249,69
monthly-report_2006-10,28489375,69
