"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","21,268","44.26%","94.37%","1,270","37.13%","5.63%","22,538","43.78%"
"Sex Crime","7,176","14.93%","98.68%","96","2.81%","1.32%","7,272","14.13%"
"Property","9,308","19.37%","89.40%","1,104","32.28%","10.60%","10,412","20.23%"
"Drug","7,771","16.17%","90.43%","822","24.04%","9.57%","8,593","16.69%"
"Habit/DUI","173",".36%","96.11%","7",".20%","3.89%","180",".35%"
"Other","2,359","4.91%","95.12%","121","3.54%","4.88%","2,480","4.82%"
"Total Reported","48,055","100%","93.36%","3,420","100%","6.64%","51,475","100%"
