"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","20,870","44.33%","94.46%","1,224","37.11%","5.54%","22,094","43.86%"
"Sex Crime","7,066","15.01%","98.70%","93","2.82%","1.30%","7,159","14.21%"
"Property","8,918","18.94%","89.38%","1,060","32.14%","10.62%","9,978","19.81%"
"Drug","7,876","16.73%","90.74%","804","24.38%","9.26%","8,680","17.23%"
"Habit/DUI","154",".33%","95.06%","8",".24%","4.94%","162",".32%"
"Other","2,193","4.66%","95.26%","109","3.31%","4.74%","2,302","4.57%"
"Total Reported","47,077","100%","93.45%","3,298","100%","6.55%","50,375","100%"
"Not Reported","2578",,,"217",,,"2795",
"Grand Total","49,655",,,"3,515",,,"53,170",
