"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,374","52.05%","94.03%","1,674","43.58%","5.97%","28,048","51.45%"
"Sex Crime","8,270","16.32%","98.45%","130","3.38%","1.55%","8,400","15.41%"
"Property","8,108","16.00%","88.78%","1,025","26.69%","11.22%","9,133","16.75%"
"Drug","5,384","10.63%","86.98%","806","20.98%","13.02%","6,190","11.36%"
"Habit/DUI","97",".19%","88.99%","12",".31%","11.01%","109",".20%"
"Other","2,438","4.81%","92.63%","194","5.05%","7.37%","2,632","4.83%"
"Total Reported","50,671","100%","92.95%","3,841","100%","7.05%","54,512","100%"
