"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","22,484","45.38%","94.26%","1,368","36.42%","5.74%","23,852","44.74%"
"Sex Crime","7,683","15.51%","98.68%","103","2.74%","1.32%","7,786","14.61%"
"Property","9,307","18.78%","88.28%","1,235","32.88%","11.72%","10,542","19.78%"
"Drug","7,947","16.04%","89.70%","913","24.31%","10.30%","8,860","16.62%"
"Habit/DUI","119",".24%","95.20%","6",".16%","4.80%","125",".23%"
"Other","2,011","4.06%","93.88%","131","3.49%","6.12%","2,142","4.02%"
"Total Reported","49,551","100%","92.95%","3,756","100%","7.05%","53,307","100%"
