"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","20,872","44.40%","94.33%","1,254","37.21%","5.67%","22,126","43.92%"
"Sex Crime","7,081","15.06%","98.63%","98","2.91%","1.37%","7,179","14.25%"
"Property","8,912","18.96%","89.11%","1,089","32.31%","10.89%","10,001","19.85%"
"Drug","7,795","16.58%","90.65%","804","23.86%","9.35%","8,599","17.07%"
"Habit/DUI","158",".34%","95.18%","8",".24%","4.82%","166",".33%"
"Other","2,186","4.65%","94.92%","117","3.47%","5.08%","2,303","4.57%"
"Total Reported","47,004","100%","93.31%","3,370","100%","6.69%","50,374","100%"
"Not Reported","2065",,,"165",,,"2230",
"Grand Total","49,069",,,"3,535",,,"52,604",
