"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,415","55.56%","93.61%","1,736","49.90%","6.39%","27,151","55.16%"
"Sex Crime","8,585","18.77%","98.44%","136","3.91%","1.56%","8,721","17.72%"
"Property","4,998","10.93%","89.36%","595","17.10%","10.64%","5,593","11.36%"
"Drug","3,973","8.68%","83.92%","761","21.87%","16.08%","4,734","9.62%"
"Habit/DUI","77",".17%","91.67%","7",".20%","8.33%","84",".17%"
"Other","2,698","5.90%","91.71%","244","7.01%","8.29%","2,942","5.98%"
"Total Reported","45,746","100%","92.93%","3,479","100%","7.07%","49,225","100%"
"Not Reported","110",,,"2",,,"112",
"Grand Total","45,856",,,"3,481",,,"49,337",
