"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","23,076","47.68%","94.42%","1,363","39.34%","5.58%","24,439","47.12%"
"Sex Crime","7,633","15.77%","98.58%","110","3.17%","1.42%","7,743","14.93%"
"Property","8,903","18.39%","88.79%","1,124","32.44%","11.21%","10,027","19.33%"
"Drug","6,777","14.00%","90.13%","742","21.41%","9.87%","7,519","14.50%"
"Habit/DUI","104",".21%","94.55%","6",".17%","5.45%","110",".21%"
"Other","1,907","3.94%","94.08%","120","3.46%","5.92%","2,027","3.91%"
"Total Reported","48,400","100%","93.32%","3,465","100%","6.68%","51,865","100%"
"Not Reported","813",,,"122",,,"935",
"Grand Total","49,213",,,"3,587",,,"52,800",
