"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","22,580","46.46%","94.26%","1,374","37.60%","5.74%","23,954","45.84%"
"Sex Crime","7,602","15.64%","98.48%","117","3.20%","1.52%","7,719","14.77%"
"Property","9,002","18.52%","88.21%","1,203","32.92%","11.79%","10,205","19.53%"
"Drug","7,507","15.45%","90.02%","832","22.77%","9.98%","8,339","15.96%"
"Habit/DUI","101",".21%","92.66%","8",".22%","7.34%","109",".21%"
"Other","1,812","3.73%","93.79%","120","3.28%","6.21%","1,932","3.70%"
"Total Reported","48,604","100%","93.01%","3,654","100%","6.99%","52,258","100%"
"Not Reported","345",,,"71",,,"416",
"Grand Total","48,949",,,"3,725",,,"52,674",
