"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,206","55.45%","93.95%","1,559","51.55%","6.05%","25,765","55.20%"
"Sex Crime","8,011","18.35%","98.51%","121","4.00%","1.49%","8,132","17.42%"
"Property","5,244","12.01%","91.23%","504","16.67%","8.77%","5,748","12.31%"
"Drug","3,969","9.09%","85.82%","656","21.69%","14.18%","4,625","9.91%"
"Habit/DUI","70",".16%","87.50%","10",".33%","12.50%","80",".17%"
"Other","2,154","4.93%","92.53%","174","5.75%","7.47%","2,328","4.99%"
"Total Reported","43,654","100%","93.52%","3,024","100%","6.48%","46,678","100%"
"Not Reported","101",,,"1",,,"102",
"Grand Total","43,755",,,"3,025",,,"46,780",
