"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1  Violent","27,742","56.58%","93.13%","2,045","50.68%","6.87%","29,787","56.13%"
"2  Sex Crime","9,269","18.91%","98.47%","144","3.57%","1.53%","9,413","17.74%"
"3  Property","4,742","9.67%","87.36%","686","17.0%","12.64%","5,428","10.23%"
"4  Drug","4,045","8.25%","82.47%","860","21.31%","17.53%","4,905","9.24%"
"5  Habit/DUI","72","0.15%","83.72%","14","0.35%","16.28%","86","0.16%"
"6  Other","3,159","6.44%","91.7%","286","7.09%","8.3%","3,445","6.49%"
"Total Reported","49,029","100.00%","92.40%","4,035","100.00%","7.60%","53,064","100.00%"
