"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","22,588","46.03%","94.21%","1,388","38.22%","5.79%","23,976","45.49%"
"Sex Crime","7,599","15.48%","98.57%","110","3.03%","1.43%","7,709","14.63%"
"Property","9,216","18.78%","88.60%","1,186","32.65%","11.40%","10,402","19.74%"
"Drug","7,596","15.48%","90.26%","820","22.58%","9.74%","8,416","15.97%"
"Habit/DUI","103",".21%","93.64%","7",".19%","6.36%","110",".21%"
"Other","1,972","4.02%","94.22%","121","3.33%","5.78%","2,093","3.97%"
"Total Reported","49,074","100%","93.11%","3,632","100%","6.89%","52,706","100%"
"Not Reported","85",,,"22",,,"107",
"Grand Total","49,159",,,"3,654",,,"52,813",
