"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","21,930","43.24%","94.55%","1,264","36.41%","5.45%","23,194","42.80%"
"Sex Crime","7,588","14.96%","98.70%","100","2.88%","1.30%","7,688","14.19%"
"Property","9,763","19.25%","89.77%","1,113","32.06%","10.23%","10,876","20.07%"
"Drug","8,832","17.41%","91.30%","842","24.25%","8.70%","9,674","17.85%"
"Habit/DUI","152",".30%","94.41%","9",".26%","5.59%","161",".30%"
"Other","2,452","4.83%","94.45%","144","4.15%","5.55%","2,596","4.79%"
"Total Reported","50,717","100%","93.59%","3,472","100%","6.41%","54,189","100%"
