"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","28,070","56.76%","93.04%","2,100","52.32%","6.96%","30,170","56.43%"
"Sex Crime","9,505","19.22%","98.36%","158","3.94%","1.64%","9,663","18.07%"
"Property","4,725","9.55%","87.73%","661","16.47%","12.27%","5,386","10.07%"
"Drug","3,932","7.95%","83.25%","791","19.71%","16.75%","4,723","8.83%"
"Habit/DUI","79","0.16%","86.81%","12","0.3%","13.19%","91","0.17%"
"Other","3,141","6.35%","91.49%","292","7.27%","8.51%","3,433","6.42%"
"Total Reported","49,452","100.00%","92.49%","4,014","100.00%","7.51%","53,466","100.00%"
