"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,583","56.11%","93.42%","1,871","49.65%","6.58%","28,454","55.63%"
"Sex Crime","9,028","19.05%","98.41%","146","3.87%","1.59%","9,174","17.94%"
"Property","4,891","10.32%","88.38%","643","17.06%","11.62%","5,534","10.82%"
"Drug","3,986","8.41%","82.78%","829","22.00%","17.22%","4,815","9.41%"
"Habit/DUI","67",".14%","87.01%","10",".27%","12.99%","77",".15%"
"Other","2,825","5.96%","91.31%","269","7.14%","8.69%","3,094","6.05%"
"Total Reported","47,380","100%","92.63%","3,768","100%","7.37%","51,148","100%"
