"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,833","50.23%","94.22%","1,524","43.96%","5.78%","26,357","49.82%"
"Sex Crime","8,234","16.65%","98.54%","122","3.52%","1.46%","8,356","15.79%"
"Property","8,935","18.07%","89.52%","1,046","30.17%","10.48%","9,981","18.87%"
"Drug","5,357","10.84%","89.72%","614","17.71%","10.28%","5,971","11.29%"
"Habit/DUI","93",".19%","85.32%","16",".46%","14.68%","109",".21%"
"Other","1,987","4.02%","93.20%","145","4.18%","6.80%","2,132","4.03%"
"Total Reported","49,439","100%","93.45%","3,467","100%","6.55%","52,906","100%"
