"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","22,609","46.50%","94.15%","1,404","37.63%","5.85%","24,013","45.87%"
"Sex Crime","7,606","15.64%","98.52%","114","3.06%","1.48%","7,720","14.75%"
"Property","9,020","18.55%","88.07%","1,221","32.73%","11.92%","10,242","19.56%"
"Drug","7,367","15.15%","89.61%","854","22.89%","10.39%","8,221","15.70%"
"Habit/DUI","96",".20%","90.57%","10",".27%","9.43%","106",".20%"
"Other","1,924","3.96%","93.76%","128","3.43%","6.24%","2,052","3.92%"
"Total Reported","48,622","100%","92.87%","3,731","100%","7.13%","52,354","100%"
