"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,684","51.19%","94.00%","1,639","43.44%","6.00%","27,323","50.65%"
"Sex Crime","8,242","16.43%","98.40%","134","3.55%","1.60%","8,376","15.53%"
"Property","8,357","16.66%","88.94%","1,039","27.54%","11.06%","9,396","17.42%"
"Drug","5,544","11.05%","87.80%","770","20.41%","12.20%","6,314","11.70%"
"Habit/DUI","113",".23%","91.13%","11",".29%","8.87%","124",".23%"
"Other","2,234","4.45%","92.54%","180","4.77%","7.46%","2,414","4.47%"
"Total Reported","50,174","100%","93.01%","3,773","100%","6.99%","53,947","100%"
"Not Reported","78",,,"1",,,"79",
"Grand Total","50,252",,,"3,774",,,"54,026",
