"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","22,003","43.68%","94.44%","1,295","36.44%","5.56%","23,298","43.20%"
"Sex Crime","7,622","15.13%","98.59%","109","3.07%","1.41%","7,731","14.34%"
"Property","9,630","19.12%","89.21%","1,165","32.78%","10.79%","10,795","20.02%"
"Drug","8,541","16.96%","91.09%","835","23.49%","8.91%","9,376","17.39%"
"Habit/DUI","157",".31%","94.01%","10",".28%","5.99%","167",".31%"
"Other","2,420","4.80%","94.53%","140","3.94%","5.47%","2,560","4.75%"
"Total Reported","50,373","100%","93.41%","3,554","100%","6.59%","53,927","100%"
