"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,726","52.43%","93.70%","1,798","44.65%","6.30%","28,524","51.86%"
"Sex Crime","8,717","17.10%","98.41%","141","3.50%","1.59%","8,858","16.11%"
"Property","7,381","14.48%","89.22%","892","22.15%","10.78%","8,273","15.04%"
"Drug","5,300","10.40%","85.10%","928","23.04%","14.90%","6,228","11.32%"
"Habit/DUI","97",".19%","85.84%","16",".40%","14.16%","113",".21%"
"Other","2,752","5.40%","91.61%","252","6.26%","8.39%","3,004","5.46%"
"Total Reported","50,973","100%","92.68%","4,027","100%","7.32%","55,000","100%"
"Not Reported","96",,,"0",,,"96",
"Grand Total","51,069",,,"4,027",,,"55,096",
