"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,768","49.49%","94.05%","1,566","43.68%","5.95%","26,334","49.10%"
"Sex Crime","8,196","16.38%","98.43%","131","3.65%","1.57%","8,327","15.53%"
"Property","9,106","18.20%","89.74%","1,041","29.04%","10.26%","10,147","18.92%"
"Drug","5,666","11.32%","89.38%","673","18.77%","10.62%","6,339","11.82%"
"Habit/DUI","88",".18%","87.13%","13",".36%","12.87%","101",".19%"
"Other","2,220","4.44%","93.24%","161","4.49%","6.76%","2,381","4.44%"
"Total Reported","50,044","100%","93.32%","3,585","100%","6.68%","53,629","100%"
"Not Reported","77",,,"0",,,"77",
"Grand Total","50,121",,,"3,585",,,"53,706",
