"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,943","48.23%","94.27%","1,515","40.34%","5.73%","26,458","47.70%"
"Sex Crime","8,200","15.86%","98.59%","117","3.12%","1.41%","8,317","14.99%"
"Property","10,202","19.73%","89.37%","1,214","32.32%","10.63%","11,416","20.58%"
"Drug","6,267","12.12%","89.32%","749","19.94%","10.68%","7,016","12.65%"
"Habit/DUI","95",".18%","84.07%","18",".48%","15.93%","113",".20%"
"Other","2,007","3.88%","93.35%","143","3.81%","6.65%","2,150","3.88%"
"Total Reported","51,714","100%","93.23%","3,756","100%","6.77%","55,470","100%"
