"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,639","52.25%","93.94%","1,717","43.58%","6.06%","28,356","51.63%"
"Sex Crime","8,500","16.67%","98.44%","135","3.43%","1.56%","8,635","15.72%"
"Property","7,819","15.34%","88.81%","985","25.00%","11.19%","8,804","16.03%"
"Drug","5,350","10.49%","85.86%","881","22.36%","14.14%","6,231","11.34%"
"Habit/DUI","98",".19%","88.29%","13",".33%","11.71%","111",".20%"
"Other","2,579","5.06%","92.50%","209","5.30%","7.50%","2,788","5.08%"
"Total Reported","50,985","100%","92.83%","3,940","100%","7.17%","54,925","100%"
"Not Reported","89",,,"0",,,"89",
"Grand Total","51,074",,,"3,940",,,"55,014",
