"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","27,029","52.99%","93.75%","1,802","46.00%","6.25%","28,831","52.49%"
"Sex Crime","8,791","17.23%","98.45%","138","3.52%","1.55%","8,929","16.26%"
"Property","7,170","14.06%","89.59%","833","21.27%","10.41%","8,003","14.57%"
"Drug","5,127","10.05%","84.91%","911","23.26%","15.09%","6,038","10.99%"
"Habit/DUI","100",".20%","88.50%","13",".33%","11.50%","113",".21%"
"Other","2,790","5.47%","92.69%","220","5.62%","7.31%","3,010","5.48%"
"Total Reported","51,007","100%","92.87%","3,917","100%","7.13%","54,924","100%"
"Not Reported","101",,,"0",,,"101",
"Grand Total","51,108",,,"3,917",,,"55,025",
