"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","21,047","45.56%","94.43%","1,242","38.32%","5.57%","22,289","45.09%"
"Sex Crime","6,895","14.93%","98.67%","93","2.87%","1.33%","6,988","14.14%"
"Property","9,018","19.52%","89.20%","1,092","33.69%","10.80%","10,110","20.45%"
"Drug","6,882","14.90%","90.80%","697","21.51%","9.20%","7,579","15.33%"
"Habit/DUI","216",".47%","96.43%","8",".25%","3.57%","224",".45%"
"Other","2,136","4.62%","95.14%","109","3.36%","4.86%","2,245","4.54%"
"Total Reported","46,194","100%","93.44%","3,241","100%","6.56%","49,435","100%"
