"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","21,413","44.54%","94.41%","1,269","36.55%","5.59%","22,682","44.00%"
"Sex Crime","7,067","14.70%","98.70%","93","2.68%","1.30%","7,160","13.89%"
"Property","9,481","19.72%","89.19%","1,149","33.09%","10.81%","10,630","20.62%"
"Drug","7,583","15.77%","90.22%","822","23.68%","9.78%","8,405","16.31%"
"Habit/DUI","198",".41%","97.06%","6",".17%","2.94%","204",".40%"
"Other","2,332","4.85%","94.60%","133","3.83%","5.40%","2,465","4.78%"
"Total Reported","48,074","100%","93.26%","3,472","100%","6.74%","51,546","100%"
"Not Reported","1009",,,"104",,,"1113",
"Grand Total","49,083",,,"3,576",,,"52,659",
