"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,704","15.74%","87.59%","383","18.10%","12.41%","3,087","16.00%"
"1.1 - 2","3,520","20.49%","86.25%","561","26.51%","13.75%","4,081","21.15%"
"2.1 - 3","2,530","14.72%","87.18%","372","17.58%","12.82%","2,902","15.04%"
"3.1 - 4","1,566","9.11%","88.37%","206","9.74%","11.63%","1,772","9.18%"
"4.1 - 5","2,128","12.39%","89.98%","237","11.20%","10.02%","2,365","12.26%"
"5.1 - 6","905","5.27%","90.41%","96","4.54%","9.59%","1,001","5.19%"
"6.1 - 7","622","3.62%","91.47%","58","2.74%","8.53%","680","3.52%"
"7.1 - 8","484","2.82%","93.44%","34","1.61%","6.56%","518","2.68%"
"8.1 - 9","232","1.35%","90.63%","24","1.13%","9.38%","256","1.33%"
"9.1 - 10","1,125","6.55%","93.75%","75","3.54%","6.25%","1,200","6.22%"
"10.1 - 12","374","2.18%","93.03%","28","1.32%","6.97%","402","2.08%"
"12.1 - 15","360","2.10%","94.74%","20","0.95%","5.26%","380","1.97%"
"15.1 - 20","247","1.44%","97.24%","7","0.33%","2.76%","254","1.32%"
"20.1 - Over","155","0.90%","98.73%","2","0.09%","1.27%","157","0.81%"
"Life","227","1.32%","94.58%","13","0.61%","5.42%","240","1.24%"
"Life Without Parole","1","0.01%","100.00%","","","","1","0.01%"
"Death","2","0.01%","100.00%","","","","2","0.01%"
"Total Reported","17,182","100%","89.04%","2,116","100%","10.96%","19,298","100.0%"
