"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","552","3.46%","88.32%","73","3.13%","11.68%","625","3.42%"
"1.1 - 2","649","4.07%","85.62%","109","4.68%","14.38%","758","4.15%"
"2.1 - 3","855","5.36%","81.27%","197","8.46%","18.73%","1,052","5.76%"
"3.1 - 4","714","4.48%","83.80%","138","5.93%","16.20%","852","4.66%"
"4.1 - 5","1,500","9.41%","84.03%","285","12.24%","15.97%","1,785","9.77%"
"5.1 - 6","783","4.91%","83.65%","153","6.57%","16.35%","936","5.12%"
"6.1 - 7","733","4.60%","88.42%","96","4.12%","11.58%","829","4.54%"
"7.1 - 8","779","4.89%","89.13%","95","4.08%","10.87%","874","4.78%"
"8.1 - 9","703","4.41%","89.10%","86","3.69%","10.90%","789","4.32%"
"9.1 - 10","1,884","11.81%","85.83%","311","13.35%","14.17%","2,195","12.01%"
"10.1 - 12","1,053","6.60%","85.61%","177","7.60%","14.39%","1,230","6.73%"
"12.1 - 15","1,728","10.84%","89.77%","197","8.46%","10.23%","1,925","10.53%"
"15.1 - 20","1,944","12.19%","89.67%","224","9.62%","10.33%","2,168","11.86%"
"20.1 - Over","1,631","10.23%","90.76%","166","7.13%","9.24%","1,797","9.83%"
"Life","264","1.66%","95.65%","12","0.52%","4.35%","276","1.51%"
"Life Without Parole","134","0.84%","95.04%","7","0.30%","4.96%","141","0.77%"
"Death","6","0.04%","100.00%","","","","6","0.03%"
"Youthful Offenders","34","0.21%","91.89%","3","0.13%","8.11%","37","0.20%"
"Total Reported","15,946","100%","87.26%","2,329","100.0%","12.74%","18,275","100%"
