"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","407","3.02%","89.06%","50","2.85%","10.94%","457","3.00%"
"1.1 - 2","429","3.19%","86.67%","66","3.76%","13.33%","495","3.25%"
"2.1 - 3","601","4.46%","78.98%","160","9.12%","21.02%","761","5.00%"
"3.1 - 4","471","3.50%","87.71%","66","3.76%","12.29%","537","3.53%"
"4.1 - 5","1,108","8.23%","87.87%","153","8.72%","12.13%","1,261","8.29%"
"5.1 - 6","543","4.03%","85.78%","90","5.13%","14.22%","633","4.16%"
"6.1 - 7","553","4.11%","88.76%","70","3.99%","11.24%","623","4.09%"
"7.1 - 8","526","3.91%","88.70%","67","3.82%","11.30%","593","3.90%"
"8.1 - 9","603","4.48%","91.50%","56","3.19%","8.50%","659","4.33%"
"9.1 - 10","1,560","11.58%","87.05%","232","13.23%","12.95%","1,792","11.77%"
"10.1 - 12","857","6.36%","89.74%","98","5.59%","10.26%","955","6.27%"
"12.1 - 15","1,577","11.71%","89.70%","181","10.32%","10.30%","1,758","11.55%"
"15.1 - 20","1,994","14.81%","89.34%","238","13.57%","10.66%","2,232","14.66%"
"20.1 - Over","1,772","13.16%","89.99%","197","11.23%","10.01%","1,969","12.94%"
"Life","307","2.28%","92.47%","25","1.43%","7.53%","332","2.18%"
"Life Without Parole","158","1.17%","98.75%","2","0.11%","1.25%","160","1.05%"
"Youthful Offenders","","","","3","0.17%","100.00%","3","0.02%"
"Total Reported","13,466","100%","88.48%","1,754","100%","11.52%","15,220","100%"
