"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","531","3.25%","89.70%","61","2.78%","10.30%","592","3.20%"
"1.1 - 2","549","3.36%","87.00%","82","3.73%","13.00%","631","3.41%"
"2.1 - 3","797","4.88%","81.33%","183","8.33%","18.67%","980","5.29%"
"3.1 - 4","662","4.05%","86.65%","102","4.64%","13.35%","764","4.12%"
"4.1 - 5","1,522","9.32%","86.23%","243","11.07%","13.77%","1,765","9.53%"
"5.1 - 6","830","5.08%","87.00%","124","5.65%","13.00%","954","5.15%"
"6.1 - 7","760","4.65%","86.76%","116","5.28%","13.24%","876","4.73%"
"7.1 - 8","777","4.76%","87.40%","112","5.10%","12.60%","889","4.80%"
"8.1 - 9","721","4.41%","89.68%","83","3.78%","10.32%","804","4.34%"
"9.1 - 10","2,160","13.23%","87.31%","314","14.30%","12.69%","2,474","13.35%"
"10.1 - 12","1,240","7.59%","87.39%","179","8.15%","12.61%","1,419","7.66%"
"12.1 - 15","1,902","11.65%","89.17%","231","10.52%","10.83%","2,133","11.51%"
"15.1 - 20","2,235","13.69%","90.89%","224","10.20%","9.11%","2,459","13.27%"
"20.1 - Over","1,386","8.49%","91.49%","129","5.87%","8.51%","1,515","8.18%"
"Life","219","1.34%","94.40%","13","0.59%","5.60%","232","1.25%"
"Life Without Parole","14","0.09%","100.00%","","","","14","0.08%"
"Death","20","0.12%","100.00%","","","","20","0.11%"
"Youthful Offenders","6","0.04%","100.00%","","","","6","0.03%"
"Total Reported","16,331","100%","88.15%","2,196","100%","11.85%","18,527","100.0%"
