"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","427","3.46%","88.22%","57","4.00%","11.78%","484","3.51%"
"1.1 - 2","443","3.58%","89.31%","53","3.72%","10.69%","496","3.60%"
"2.1 - 3","646","5.23%","85.90%","106","7.44%","14.10%","752","5.46%"
"3.1 - 4","518","4.19%","87.06%","77","5.40%","12.94%","595","4.32%"
"4.1 - 5","917","7.42%","87.17%","135","9.47%","12.83%","1,052","7.63%"
"5.1 - 6","579","4.69%","90.05%","64","4.49%","9.95%","643","4.67%"
"6.1 - 7","528","4.27%","90.72%","54","3.79%","9.28%","582","4.22%"
"7.1 - 8","534","4.32%","91.28%","51","3.58%","8.72%","585","4.24%"
"8.1 - 9","550","4.45%","89.58%","64","4.49%","10.42%","614","4.45%"
"9.1 - 10","1,379","11.16%","86.24%","220","15.44%","13.76%","1,599","11.60%"
"10.1 - 12","934","7.56%","90.24%","101","7.09%","9.76%","1,035","7.51%"
"12.1 - 15","1,501","12.15%","91.30%","143","10.04%","8.70%","1,644","11.93%"
"15.1 - 20","1,872","15.15%","92.04%","162","11.37%","7.96%","2,034","14.76%"
"20.1 - Over","1,266","10.24%","90.75%","129","9.05%","9.25%","1,395","10.12%"
"Life","250","2.02%","96.90%","8","0.56%","3.10%","258","1.87%"
"Life Without Parole","11","0.09%","91.67%","1","0.07%","8.33%","12","0.09%"
"Death","2","0.02%","100.00%","","","","2","0.01%"
"Youthful Offenders","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","12,358","100%","89.66%","1,425","100%","10.34%","13,783","100%"
