"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","405","3.09%","87.85%","56","3.22%","12.15%","461","3.11%"
"1.1 - 2","477","3.64%","89.33%","57","3.28%","10.67%","534","3.60%"
"2.1 - 3","575","4.39%","83.94%","110","6.33%","16.06%","685","4.62%"
"3.1 - 4","499","3.81%","85.59%","84","4.84%","14.41%","583","3.93%"
"4.1 - 5","1,058","8.08%","85.32%","182","10.48%","14.68%","1,240","8.36%"
"5.1 - 6","582","4.45%","87.92%","80","4.61%","12.08%","662","4.46%"
"6.1 - 7","568","4.34%","89.03%","70","4.03%","10.97%","638","4.30%"
"7.1 - 8","570","4.35%","86.49%","89","5.12%","13.51%","659","4.44%"
"8.1 - 9","631","4.82%","90.53%","66","3.80%","9.47%","697","4.70%"
"9.1 - 10","1,404","10.72%","85.61%","236","13.59%","14.39%","1,640","11.06%"
"10.1 - 12","833","6.36%","89.28%","100","5.76%","10.72%","933","6.29%"
"12.1 - 15","1,478","11.29%","88.98%","183","10.54%","11.02%","1,661","11.20%"
"15.1 - 20","1,970","15.05%","89.63%","228","13.13%","10.37%","2,198","14.82%"
"20.1 - Over","1,646","12.57%","90.84%","166","9.56%","9.16%","1,812","12.22%"
"Life","254","1.94%","91.37%","24","1.38%","8.63%","278","1.87%"
"Life Without Parole","141","1.08%","97.24%","4","0.23%","2.76%","145","0.98%"
"Youthful Offenders","","","","2","0.12%","100.00%","2","0.01%"
"Total Reported","13,091","100%","88.29%","1,737","100.0%","11.71%","14,828","100%"
