"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","328","2.71%","84.97%","58","3.61%","15.03%","386","2.81%"
"1.1 - 2","374","3.09%","88.42%","49","3.05%","11.58%","423","3.08%"
"2.1 - 3","552","4.56%","81.9%","122","7.6%","18.1%","674","4.91%"
"3.1 - 4","438","3.61%","85.71%","73","4.55%","14.29%","511","3.72%"
"4.1 - 5","882","7.28%","86.9%","133","8.28%","13.1%","1,015","7.4%"
"5.1 - 6","467","3.85%","83.69%","91","5.67%","16.31%","558","4.07%"
"6.1 - 7","461","3.8%","86.49%","72","4.48%","13.51%","533","3.88%"
"7.1 - 8","533","4.4%","89.13%","65","4.05%","10.87%","598","4.36%"
"8.1 - 9","567","4.68%","91.6%","52","3.24%","8.4%","619","4.51%"
"9.1 - 10","1,526","12.59%","87.1%","226","14.07%","12.9%","1,752","12.77%"
"10.1 - 12","783","6.46%","87.88%","108","6.72%","12.12%","891","6.49%"
"12.1 - 15","1,483","12.24%","88.64%","190","11.83%","11.36%","1,673","12.19%"
"15.1 - 20","1,986","16.39%","89.82%","225","14.01%","10.18%","2,211","16.11%"
"20.1 - Over","1,486","12.26%","91.79%","133","8.28%","8.21%","1,619","11.8%"
"Life","236","1.95%","96.33%","9","0.56%","3.67%","245","1.79%"
"Life Without Parole","12","0.1%","100.0%","","","","12","0.09%"
"Death","2","0.02%","100.0%","","","","2","0.01%"
"Youthful Offenders","2","0.02%","100.0%","","","","2","0.01%"
"Total Reported","12,118","100.00%","88.30%","1,606","100.00%","11.70%","13,724","100.00%"
