"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","437","2.79%","89.37%","52","2.55%","10.63%","489","2.77%"
"1.1 - 2","591","3.78%","88.61%","76","3.73%","11.39%","667","3.77%"
"2.1 - 3","775","4.95%","86.50%","121","5.93%","13.50%","896","5.07%"
"3.1 - 4","709","4.53%","88.29%","94","4.61%","11.71%","803","4.54%"
"4.1 - 5","1,562","9.98%","86.78%","238","11.67%","13.22%","1,800","10.18%"
"5.1 - 6","802","5.13%","86.05%","130","6.37%","13.95%","932","5.27%"
"6.1 - 7","787","5.03%","89.33%","94","4.61%","10.67%","881","4.98%"
"7.1 - 8","795","5.08%","91.17%","77","3.77%","8.83%","872","4.93%"
"8.1 - 9","695","4.44%","89.33%","83","4.07%","10.67%","778","4.40%"
"9.1 - 10","2,113","13.51%","86.53%","329","16.13%","13.47%","2,442","13.81%"
"10.1 - 12","1,121","7.17%","86.97%","168","8.24%","13.03%","1,289","7.29%"
"12.1 - 15","1,655","10.58%","87.52%","236","11.57%","12.48%","1,891","10.69%"
"15.1 - 20","1,805","11.54%","89.98%","201","9.85%","10.02%","2,006","11.34%"
"20.1 - Over","1,379","8.81%","92.43%","113","5.54%","7.57%","1,492","8.44%"
"Life","243","1.55%","93.46%","17","0.83%","6.54%","260","1.47%"
"Life Without Parole","107","0.68%","93.86%","7","0.34%","6.14%","114","0.64%"
"Death","6","0.04%","100.00%","","","","6","0.03%"
"Youthful Offenders","63","0.40%","94.03%","4","0.20%","5.97%","67","0.38%"
"Total Reported","15,645","100%","88.46%","2,040","100.0%","11.54%","17,685","100%"
