"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","3,189","16.69%","89.65%","368","18.85%","10.35%","3,557","16.89%"
"1.1 - 2","3,642","19.07%","88.72%","463","23.72%","11.28%","4,105","19.50%"
"2.1 - 3","2,905","15.21%","89.11%","355","18.19%","10.89%","3,260","15.48%"
"3.1 - 4","1,852","9.69%","89.47%","218","11.17%","10.53%","2,070","9.83%"
"4.1 - 5","2,223","11.64%","91.97%","194","9.94%","8.03%","2,417","11.48%"
"5.1 - 6","840","4.40%","90.03%","93","4.76%","9.97%","933","4.43%"
"6.1 - 7","692","3.62%","93.01%","52","2.66%","6.99%","744","3.53%"
"7.1 - 8","546","2.86%","93.33%","39","2.00%","6.67%","585","2.78%"
"8.1 - 9","389","2.04%","96.05%","16","0.82%","3.95%","405","1.92%"
"9.1 - 10","950","4.97%","93.05%","71","3.64%","6.95%","1,021","4.85%"
"10.1 - 12","406","2.13%","95.08%","21","1.08%","4.92%","427","2.03%"
"12.1 - 15","462","2.42%","96.25%","18","0.92%","3.75%","480","2.28%"
"15.1 - 20","332","1.74%","95.40%","16","0.82%","4.60%","348","1.65%"
"20.1 - Over","271","1.42%","97.83%","6","0.31%","2.17%","277","1.32%"
"Life","331","1.73%","94.30%","20","1.02%","5.70%","351","1.67%"
"Life Without Parole","72","0.38%","97.30%","2","0.10%","2.70%","74","0.35%"
"Death","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","19,103","100%","90.73%","1,952","100%","9.27%","21,055","100%"
