"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","3,710","19.02%","87.54%","527","23.12%","12.44%","4,238","19.45%"
"1.1 - 2","4,201","21.54%","87.65%","589","25.84%","12.29%","4,793","22.00%"
"2.1 - 3","2,627","13.47%","88.51%","341","14.96%","11.49%","2,968","13.62%"
"3.1 - 4","1,594","8.17%","88.41%","209","9.17%","11.59%","1,803","8.28%"
"4.1 - 5","2,261","11.59%","90.22%","244","10.71%","9.74%","2,506","11.50%"
"5.1 - 6","877","4.50%","90.60%","91","3.99%","9.40%","968","4.44%"
"6.1 - 7","613","3.14%","91.49%","57","2.50%","8.51%","670","3.08%"
"7.1 - 8","524","2.69%","93.74%","35","1.54%","6.26%","559","2.57%"
"8.1 - 9","203","1.04%","91.44%","19","0.83%","8.56%","222","1.02%"
"9.1 - 10","1,171","6.00%","92.94%","89","3.91%","7.06%","1,260","5.78%"
"10.1 - 12","467","2.39%","93.78%","31","1.36%","6.22%","498","2.29%"
"12.1 - 15","519","2.66%","95.93%","22","0.97%","4.07%","541","2.48%"
"15.1 - 20","321","1.65%","96.98%","10","0.44%","3.02%","331","1.52%"
"20.1 - Over","174","0.89%","97.75%","4","0.18%","2.25%","178","0.82%"
"Life","237","1.22%","95.56%","11","0.48%","4.44%","248","1.14%"
"Life Without Parole","2","0.01%","100.00%","","","","2","0.01%"
"Death","3","0.02%","100.00%","","","","3","0.01%"
"Total Reported","19,504","100%","89.52%","2,279","100%","10.46%","21,788","100.0%"
