"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","559","3.52%","86.40%","88","4.13%","13.60%","647","3.59%"
"1.1 - 2","597","3.76%","87.03%","89","4.17%","12.97%","686","3.81%"
"2.1 - 3","816","5.14%","82.09%","178","8.35%","17.91%","994","5.52%"
"3.1 - 4","699","4.40%","85.14%","122","5.72%","14.86%","821","4.56%"
"4.1 - 5","1,530","9.64%","85.91%","251","11.77%","14.09%","1,781","9.89%"
"5.1 - 6","802","5.05%","87.08%","119","5.58%","12.92%","921","5.11%"
"6.1 - 7","771","4.86%","88.52%","100","4.69%","11.48%","871","4.84%"
"7.1 - 8","744","4.69%","88.78%","94","4.41%","11.22%","838","4.65%"
"8.1 - 9","709","4.47%","89.75%","81","3.80%","10.25%","790","4.39%"
"9.1 - 10","2,066","13.01%","86.92%","311","14.59%","13.08%","2,377","13.20%"
"10.1 - 12","1,196","7.53%","87.75%","167","7.83%","12.25%","1,363","7.57%"
"12.1 - 15","1,826","11.50%","90.40%","194","9.10%","9.60%","2,020","11.22%"
"15.1 - 20","2,031","12.79%","90.99%","201","9.43%","9.01%","2,232","12.39%"
"20.1 - Over","1,253","7.89%","91.19%","121","5.68%","8.81%","1,374","7.63%"
"Life","258","1.63%","94.16%","16","0.75%","5.84%","274","1.52%"
"Life Without Parole","3","0.02%","100.00%","","","","3","0.02%"
"Death","15","0.09%","100.00%","","","","15","0.08%"
"Youthful Offenders","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","15,876","100%","88.16%","2,132","100%","11.84%","18,008","100%"
