"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","492","2.92%","90.11%","54","2.54%","9.89%","546","2.87%"
"1.1 - 2","612","3.63%","87.55%","87","4.09%","12.45%","699","3.68%"
"2.1 - 3","775","4.59%","85.45%","132","6.20%","14.55%","907","4.77%"
"3.1 - 4","727","4.31%","89.53%","85","3.99%","10.47%","812","4.27%"
"4.1 - 5","1,907","11.30%","88.04%","259","12.17%","11.96%","2,166","11.40%"
"5.1 - 6","868","5.14%","86.54%","135","6.34%","13.46%","1,003","5.28%"
"6.1 - 7","842","4.99%","89.19%","102","4.79%","10.81%","944","4.97%"
"7.1 - 8","841","4.98%","88.25%","112","5.26%","11.75%","953","5.01%"
"8.1 - 9","753","4.46%","91.16%","73","3.43%","8.84%","826","4.35%"
"9.1 - 10","2,565","15.20%","86.28%","408","19.17%","13.72%","2,973","15.64%"
"10.1 - 12","1,140","6.75%","88.99%","141","6.63%","11.01%","1,281","6.74%"
"12.1 - 15","1,765","10.46%","89.05%","217","10.20%","10.95%","1,982","10.43%"
"15.1 - 20","1,893","11.22%","90.88%","190","8.93%","9.12%","2,083","10.96%"
"20.1 - Over","1,244","7.37%","92.08%","107","5.03%","7.92%","1,351","7.11%"
"Life","270","1.60%","93.10%","20","0.94%","6.90%","290","1.53%"
"Life Without Parole","111","0.66%","96.52%","4","0.19%","3.48%","115","0.61%"
"Death","1","0.01%","100.00%","","","","1","0.01%"
"Youthful Offenders","71","0.42%","97.26%","2","0.09%","2.74%","73","0.38%"
"Total Reported","16,877","100%","88.80%","2,128","100%","11.20%","19,005","100.0%"
