"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","468","2.94%","90.52%","49","2.51%","9.48%","517","2.89%"
"1.1 - 2","546","3.43%","90.10%","60","3.07%","9.90%","606","3.39%"
"2.1 - 3","692","4.34%","86.83%","105","5.37%","13.17%","797","4.46%"
"3.1 - 4","661","4.15%","89.08%","81","4.14%","10.92%","742","4.15%"
"4.1 - 5","1,608","10.09%","86.36%","254","12.99%","13.64%","1,862","10.41%"
"5.1 - 6","819","5.14%","87.78%","114","5.83%","12.22%","933","5.22%"
"6.1 - 7","792","4.97%","87.80%","110","5.62%","12.20%","902","5.04%"
"7.1 - 8","799","5.02%","89.37%","95","4.86%","10.63%","894","5.00%"
"8.1 - 9","739","4.64%","89.47%","87","4.45%","10.53%","826","4.62%"
"9.1 - 10","2,416","15.16%","87.89%","333","17.02%","12.11%","2,749","15.37%"
"10.1 - 12","1,308","8.21%","87.73%","183","9.36%","12.27%","1,491","8.34%"
"12.1 - 15","1,858","11.66%","90.02%","206","10.53%","9.98%","2,064","11.54%"
"15.1 - 20","1,962","12.31%","91.21%","189","9.66%","8.79%","2,151","12.02%"
"20.1 - Over","1,027","6.45%","92.77%","80","4.09%","7.23%","1,107","6.19%"
"Life","198","1.24%","95.65%","9","0.46%","4.35%","207","1.16%"
"Life Without Parole","4","0.03%","100.00%","","","","4","0.02%"
"Death","26","0.16%","96.30%","1","0.05%","3.70%","27","0.15%"
"Youthful Offenders","9","0.06%","100.00%","","","","9","0.05%"
"Total Reported","15,932","100%","89.07%","1,956","100.0%","10.93%","17,888","100.0%"
