"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","615","3.68%","88.36%","81","3.63%","11.64%","696","3.67%"
"1.1 - 2","709","4.24%","87.42%","102","4.57%","12.58%","811","4.28%"
"2.1 - 3","1,059","6.33%","82.61%","223","9.99%","17.39%","1,282","6.76%"
"3.1 - 4","827","4.94%","86.15%","133","5.96%","13.85%","960","5.06%"
"4.1 - 5","1,541","9.21%","88.06%","209","9.36%","11.94%","1,750","9.23%"
"5.1 - 6","917","5.48%","87.33%","133","5.96%","12.67%","1,050","5.54%"
"6.1 - 7","763","4.56%","88.41%","100","4.48%","11.59%","863","4.55%"
"7.1 - 8","760","4.54%","88.47%","99","4.43%","11.53%","859","4.53%"
"8.1 - 9","727","4.34%","90.31%","78","3.49%","9.69%","805","4.24%"
"9.1 - 10","1,983","11.85%","86.86%","300","13.43%","13.14%","2,283","12.04%"
"10.1 - 12","1,121","6.70%","88.34%","148","6.63%","11.66%","1,269","6.69%"
"12.1 - 15","1,735","10.37%","89.39%","206","9.23%","10.61%","1,941","10.23%"
"15.1 - 20","2,000","11.95%","89.73%","229","10.26%","10.27%","2,229","11.75%"
"20.1 - Over","1,533","9.16%","90.66%","158","7.08%","9.34%","1,691","8.92%"
"Life","287","1.72%","91.40%","27","1.21%","8.60%","314","1.66%"
"Life Without Parole","122","0.73%","97.60%","3","0.13%","2.40%","125","0.66%"
"Death","8","0.05%","88.89%","1","0.04%","11.11%","9","0.05%"
"Youthful Offenders","27","0.16%","90.00%","3","0.13%","10.00%","30","0.16%"
"Total Reported","16,734","100%","88.23%","2,233","100.0%","11.77%","18,967","100.0%"
