"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","2,594","16.01%","88.20%","347","18.15%","11.80%","2,941","16.23%"
"1.1 - 2","3,321","20.49%","86.13%","535","27.98%","13.87%","3,856","21.28%"
"2.1 - 3","2,263","13.96%","88.43%","296","15.48%","11.57%","2,559","14.12%"
"3.1 - 4","1,533","9.46%","88.10%","207","10.83%","11.90%","1,740","9.60%"
"4.1 - 5","1,987","12.26%","90.61%","206","10.77%","9.39%","2,193","12.10%"
"5.1 - 6","839","5.18%","89.92%","94","4.92%","10.08%","933","5.15%"
"6.1 - 7","582","3.59%","90.80%","59","3.09%","9.20%","641","3.54%"
"7.1 - 8","473","2.92%","93.85%","31","1.62%","6.15%","504","2.78%"
"8.1 - 9","195","1.20%","93.75%","13","0.68%","6.25%","208","1.15%"
"9.1 - 10","1,053","6.50%","94.69%","59","3.09%","5.31%","1,112","6.14%"
"10.1 - 12","385","2.38%","94.59%","22","1.15%","5.41%","407","2.25%"
"12.1 - 15","356","2.20%","96.22%","14","0.73%","3.78%","370","2.04%"
"15.1 - 20","278","1.72%","96.53%","10","0.52%","3.47%","288","1.59%"
"20.1 - Over","161","0.99%","93.60%","11","0.58%","6.40%","172","0.95%"
"Life","180","1.11%","95.74%","8","0.42%","4.26%","188","1.04%"
"Life Without Parole","1","0.01%","100.00%","","","","1","0.01%"
"Death","5","0.03%","100.00%","","","","5","0.03%"
"","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","16,207","100%","89.45%","1,912","100.0%","10.55%","18,119","100.0%"
