"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","436","3.65%","88.62%","55","3.85%","11.18%","492","3.68%"
"1.1 - 2","395","3.31%","90.80%","40","2.80%","9.20%","435","3.26%"
"2.1 - 3","592","4.96%","83.73%","115","8.05%","16.27%","707","5.29%"
"3.1 - 4","523","4.38%","88.95%","65","4.55%","11.05%","588","4.40%"
"4.1 - 5","915","7.67%","86.65%","141","9.87%","13.35%","1,056","7.90%"
"5.1 - 6","528","4.42%","87.27%","77","5.39%","12.73%","605","4.53%"
"6.1 - 7","497","4.16%","89.55%","58","4.06%","10.45%","555","4.15%"
"7.1 - 8","570","4.78%","88.24%","76","5.32%","11.76%","646","4.83%"
"8.1 - 9","534","4.47%","93.03%","40","2.80%","6.97%","574","4.30%"
"9.1 - 10","1,301","10.90%","87.32%","189","13.24%","12.68%","1,490","11.15%"
"10.1 - 12","832","6.97%","89.46%","98","6.86%","10.54%","930","6.96%"
"12.1 - 15","1,422","11.92%","90.17%","155","10.85%","9.83%","1,577","11.80%"
"15.1 - 20","1,935","16.22%","91.75%","174","12.18%","8.25%","2,109","15.78%"
"20.1 - Over","1,266","10.61%","90.62%","131","9.17%","9.38%","1,397","10.46%"
"Life","177","1.48%","92.67%","14","0.98%","7.33%","191","1.43%"
"Life Without Parole","10","0.08%","100.00%","","","","10","0.07%"
"Total Reported","11,933","100%","89.31%","1,428","100%","10.69%","13,362","100%"
