"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","429","3.62%","89.19%","52","3.53%","10.81%","481","3.61%"
"1.1 - 2","435","3.68%","88.78%","55","3.74%","11.22%","490","3.68%"
"2.1 - 3","533","4.50%","81.75%","119","8.08%","18.25%","652","4.90%"
"3.1 - 4","468","3.95%","85.71%","78","5.30%","14.29%","546","4.10%"
"4.1 - 5","977","8.26%","86.38%","154","10.46%","13.62%","1,131","8.50%"
"5.1 - 6","601","5.08%","90.10%","66","4.48%","9.90%","667","5.01%"
"6.1 - 7","545","4.60%","92.22%","46","3.13%","7.78%","591","4.44%"
"7.1 - 8","501","4.23%","86.98%","75","5.10%","13.02%","576","4.33%"
"8.1 - 9","543","4.59%","90.65%","56","3.80%","9.35%","599","4.50%"
"9.1 - 10","1,377","11.63%","86.55%","214","14.54%","13.45%","1,591","11.96%"
"10.1 - 12","794","6.71%","89.82%","90","6.11%","10.18%","884","6.64%"
"12.1 - 15","1,390","11.74%","90.03%","154","10.46%","9.97%","1,544","11.60%"
"15.1 - 20","1,855","15.67%","90.75%","189","12.84%","9.25%","2,044","15.36%"
"20.1 - Over","1,236","10.44%","91.29%","118","8.02%","8.71%","1,354","10.18%"
"Life","139","1.17%","95.86%","6","0.41%","4.14%","145","1.09%"
"Life Without Parole","10","0.08%","100.00%","","","","10","0.08%"
"Death","2","0.02%","100.00%","","","","2","0.02%"
"Total Reported","11,835","100%","88.94%","1,472","100%","11.06%","13,307","100%"
