"Prison Sentence In Years","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"0 - 1","411","2.74%","90.33%","44","2.27%","9.67%","455","2.69%"
"1.1 - 2","508","3.39%","87.74%","71","3.67%","12.26%","579","3.42%"
"2.1 - 3","667","4.45%","85.19%","116","5.99%","14.81%","783","4.62%"
"3.1 - 4","627","4.18%","86.48%","98","5.06%","13.52%","725","4.28%"
"4.1 - 5","1,451","9.67%","87.67%","204","10.54%","12.33%","1,655","9.77%"
"5.1 - 6","798","5.32%","86.64%","123","6.36%","13.36%","921","5.44%"
"6.1 - 7","755","5.03%","88.41%","99","5.12%","11.59%","854","5.04%"
"7.1 - 8","749","4.99%","88.74%","95","4.91%","11.26%","844","4.98%"
"8.1 - 9","704","4.69%","89.57%","82","4.24%","10.43%","786","4.64%"
"9.1 - 10","2,195","14.63%","87.00%","328","16.95%","13.00%","2,523","14.89%"
"10.1 - 12","1,198","7.98%","87.38%","173","8.94%","12.62%","1,371","8.09%"
"12.1 - 15","1,715","11.43%","88.58%","221","11.42%","11.42%","1,936","11.43%"
"15.1 - 20","1,944","12.96%","90.84%","196","10.13%","9.16%","2,140","12.63%"
"20.1 - Over","1,074","7.16%","93.39%","76","3.93%","6.61%","1,150","6.79%"
"Life","174","1.16%","95.08%","9","0.47%","4.92%","183","1.08%"
"Life Without Parole","6","0.04%","100.00%","","","","6","0.04%"
"Death","22","0.15%","100.00%","","","","22","0.13%"
"Youthful Offenders","6","0.04%","100.00%","","","","6","0.04%"
"Total Reported","15,004","100%","88.58%","1,935","100%","11.42%","16,939","100%"
