"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Pike County","46",".09%","86.79%","7",".18%","13.21%","53",".09%"
"Polk County","182",".34%","92.39%","15",".38%","7.61%","197",".35%"
"Pulaski County","67",".13%","93.06%","5",".13%","6.94%","72",".13%"
"Putnam County","168",".32%","92.31%","14",".36%","7.69%","182",".32%"
"Quitman County","21",".04%","100.00%","","","","21",".04%"
"Rabun County","44",".08%","86.27%","7",".18%","13.73%","51",".09%"
"Randolph County","77",".15%","96.25%","3",".08%","3.75%","80",".14%"
"Richmond County","1,911","3.61%","94.89%","103","2.63%","5.11%","2,014","3.54%"
"Rockdale County","480",".91%","92.49%","39","1.00%","7.51%","519",".91%"
"Schley County","20",".04%","100.00%","","","","20",".04%"
"Screven County","141",".27%","95.92%","6",".15%","4.08%","147",".26%"
"Seminole County","70",".13%","89.74%","8",".20%","10.26%","78",".14%"
"Spalding County","602","1.14%","91.49%","56","1.43%","8.51%","658","1.16%"
"Stephens County","173",".33%","92.51%","14",".36%","7.49%","187",".33%"
"Stewart County","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"Sumter County","256",".48%","96.24%","10",".26%","3.76%","266",".47%"
"Talbot County","56",".11%","94.92%","3",".08%","5.08%","59",".10%"
"Taliaferro County","25",".05%","89.29%","3",".08%","10.71%","28",".05%"
"Tattnall County","195",".37%","94.20%","12",".31%","5.80%","207",".36%"
"Taylor County","84",".16%","95.45%","4",".10%","4.55%","88",".15%"
"Telfair County","109",".21%","90.08%","12",".31%","9.92%","121",".21%"
"Terrell County","78",".15%","97.50%","2",".05%","2.50%","80",".14%"
"Thomas County","232",".44%","96.27%","9",".23%","3.73%","241",".42%"
"Tift County","312",".59%","96.00%","13",".33%","4.00%","325",".57%"
"Toombs County","368",".69%","89.32%","44","1.12%","10.68%","412",".72%"
"Towns County","49",".09%","84.48%","9",".23%","15.52%","58",".10%"
"Treutlen County","80",".15%","94.12%","5",".13%","5.88%","85",".15%"
"Troup County","668","1.26%","91.26%","64","1.64%","8.74%","732","1.29%"
"Turner County","69",".13%","94.52%","4",".10%","5.48%","73",".13%"
"Twiggs County","71",".13%","94.67%","4",".10%","5.33%","75",".13%"
"Union County","91",".17%","90.10%","10",".26%","9.90%","101",".18%"
"Upson County","187",".35%","94.44%","11",".28%","5.56%","198",".35%"
"Walker County","429",".81%","90.32%","46","1.18%","9.68%","475",".83%"
"Walton County","506",".95%","91.34%","48","1.23%","8.66%","554",".97%"
"Ware County","317",".60%","93.51%","22",".56%","6.49%","339",".60%"
"Warren County","39",".07%","95.12%","2",".05%","4.88%","41",".07%"
"Washington County","173",".33%","92.02%","15",".38%","7.98%","188",".33%"
"Wayne County","127",".24%","91.37%","12",".31%","8.63%","139",".24%"
