"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","190",".38%","95.96%","8",".22%","4.04%","198",".37%"
"Appling County","86",".17%","92.47%","7",".19%","7.53%","93",".17%"
"Atkinson County","47",".09%","90.38%","5",".14%","9.62%","52",".10%"
"Bacon County","81",".16%","93.10%","6",".17%","6.90%","87",".16%"
"Baker County","9",".02%","81.82%","2",".06%","18.18%","11",".02%"
"Baldwin County","296",".60%","93.38%","21",".58%","6.62%","317",".60%"
"Banks County","61",".12%","93.85%","4",".11%","6.15%","65",".12%"
"Barrow County","262",".53%","91.93%","23",".64%","8.07%","285",".54%"
"Bartow County","620","1.25%","88.07%","84","2.33%","11.93%","704","1.32%"
"Ben Hill County","243",".49%","92.75%","19",".53%","7.25%","262",".49%"
"Berrien County","87",".18%","96.67%","3",".08%","3.33%","90",".17%"
"Bibb County","1,111","2.24%","94.55%","64","1.78%","5.45%","1,175","2.21%"
"Bleckley County","56",".11%","91.80%","5",".14%","8.20%","61",".11%"
"Brantley County","62",".12%","92.54%","5",".14%","7.46%","67",".13%"
"Brooks County","69",".14%","95.83%","3",".08%","4.17%","72",".14%"
"Bryan County","83",".17%","98.81%","1",".03%","1.19%","84",".16%"
"Bulloch County","540","1.09%","93.91%","35",".97%","6.09%","575","1.08%"
"Burke County","203",".41%","96.21%","8",".22%","3.79%","211",".40%"
"Butts County","114",".23%","95.80%","5",".14%","4.20%","119",".22%"
"Calhoun County","32",".06%","96.97%","1",".03%","3.03%","33",".06%"
"Camden County","193",".39%","96.50%","7",".19%","3.50%","200",".38%"
"Candler County","119",".24%","92.97%","9",".25%","7.03%","128",".24%"
"Carroll County","554","1.12%","90.67%","57","1.58%","9.33%","611","1.15%"
"Catoosa County","343",".69%","90.03%","38","1.05%","9.97%","381",".72%"
"Charlton County","50",".10%","96.15%","2",".06%","3.85%","52",".10%"
"Chatham County","2,009","4.05%","96.08%","82","2.27%","3.92%","2,091","3.93%"
"Chattahoochee County","29",".06%","100.00%","","","","29",".05%"
"Chattooga County","251",".51%","88.69%","32",".89%","11.31%","283",".53%"
"Cherokee County","537","1.08%","90.56%","56","1.55%","9.44%","593","1.11%"
"Clarke County","458",".92%","93.66%","31",".86%","6.34%","489",".92%"
"Clay County","25",".05%","86.21%","4",".11%","13.79%","29",".05%"
"Clayton County","1,500","3.02%","93.34%","107","2.97%","6.66%","1,607","3.02%"
"Clinch County","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"Cobb County","2,531","5.10%","91.27%","242","6.71%","8.73%","2,773","5.21%"
"Coffee County","249",".50%","93.61%","17",".47%","6.39%","266",".50%"
"Colquitt County","224",".45%","96.55%","8",".22%","3.45%","232",".44%"
"Columbia County","400",".81%","89.49%","47","1.30%","10.51%","447",".84%"
"Cook County","131",".26%","94.93%","7",".19%","5.07%","138",".26%"
