"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","794","1.60%","96.48%","29","0.82%","3.52%","823","1.55%"
"Twenties (20-29)","15,037","30.31%","93.72%","1,008","28.35%","6.28%","16,045","30.18%"
"Thirties (30-39)","14,577","29.38%","92.52%","1,179","33.16%","7.48%","15,756","29.64%"
"Forties (40-49)","10,246","20.65%","92.73%","803","22.58%","7.27%","11,049","20.78%"
"Fifties (50-59)","6,465","13.03%","93.59%","443","12.46%","6.41%","6,908","12.99%"
"Sixties (60-69)","1,925","3.88%","95.96%","81","2.28%","4.04%","2,006","3.77%"
"Seventy + (70 and above)","563","1.13%","97.74%","13","0.37%","2.26%","576","1.08%"
"Total Reported","49,607","100%","93.31%","3,556","100%","6.69%","53,163","100%"
"Not Reported","115","","","1","","","116",""
"Grand Total","49,722","","","3,557","","","53,279",""
