"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","322","0.70%","91.22%","31","0.87%","8.78%","353","0.72%"
"Twenties (20-29)","9,628","21.06%","93.12%","711","20.02%","6.88%","10,339","20.99%"
"Thirties (30-39)","14,378","31.45%","91.87%","1,272","35.82%","8.13%","15,650","31.77%"
"Forties (40-49)","10,757","23.53%","92.13%","919","25.88%","7.87%","11,676","23.70%"
"Fifties (50-59)","6,592","14.42%","93.72%","442","12.45%","6.28%","7,034","14.28%"
"Sixties (60-69)","3,168","6.93%","95.42%","152","4.28%","4.58%","3,320","6.74%"
"Seventy + (70 and above)","868","1.90%","97.31%","24","0.68%","2.69%","892","1.81%"
"Total Reported","45,713","100%","92.79%","3,551","100%","7.21%","49,264","100.0%"
"Not Reported","398","","","3","","","401",""
"Grand Total","46,111","","","3,554","","","49,665",""
