"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","319","0.70%","91.93%","28","0.80%","8.07%","347","0.71%"
"Twenties (20-29)","9,681","21.32%","93.18%","709","20.27%","6.82%","10,390","21.24%"
"Thirties (30-39)","14,317","31.53%","91.75%","1,287","36.80%","8.25%","15,604","31.91%"
"Forties (40-49)","10,601","23.35%","92.34%","879","25.14%","7.66%","11,480","23.47%"
"Fifties (50-59)","6,529","14.38%","93.89%","425","12.15%","6.11%","6,954","14.22%"
"Sixties (60-69)","3,136","6.91%","95.58%","145","4.15%","4.42%","3,281","6.71%"
"Seventy + (70 and above)","827","1.82%","97.18%","24","0.69%","2.82%","851","1.74%"
"Total Reported","45,410","100%","92.85%","3,497","100%","7.15%","48,907","100%"
"Not Reported","387","","","3","","","390",""
"Grand Total","45,797","","","3,500","","","49,297",""
