"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","375","0.77%","95.42%","18","0.44%","4.58%","393","0.75%"
"Twenties (20-29)","9,416","19.34%","92.63%","749","18.39%","7.37%","10,165","19.27%"
"Thirties (30-39)","14,799","30.4%","90.95%","1,473","36.17%","9.05%","16,272","30.85%"
"Forties (40-49)","12,172","25.0%","91.86%","1,078","26.47%","8.14%","13,250","25.12%"
"Fifties (50-59)","6,985","14.35%","93.18%","511","12.55%","6.82%","7,496","14.21%"
"Sixties (60-69)","3,831","7.87%","94.87%","207","5.08%","5.13%","4,038","7.65%"
"Seventy + (70 and above)","1,101","2.26%","96.83%","36","0.88%","3.17%","1,137","2.16%"
"Total Reported","48,679","100.00%","92.28%","4,072","100.00%","7.72%","52,751","100.00%"
"Not Reported","456","","","3","","","459",""
"Grand Total","49,135","","","48,682","","","53,210",""
