"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","767","1.52%","96.36%","29","0.76%","3.64%","796","1.47%"
"Twenties (20-29)","14,147","28.03%","93.35%","1,008","26.39%","6.65%","15,155","27.92%"
"Thirties (30-39)","15,287","30.29%","91.94%","1,341","35.11%","8.06%","16,628","30.63%"
"Forties (40-49)","10,317","20.44%","92.22%","870","22.78%","7.78%","11,187","20.61%"
"Fifties (50-59)","6,926","13.72%","93.91%","449","11.76%","6.09%","7,375","13.58%"
"Sixties (60-69)","2,381","4.72%","95.85%","103","2.70%","4.15%","2,484","4.58%"
"Seventy + (70 and above)","645","1.28%","97.14%","19","0.50%","2.86%","664","1.22%"
"Total Reported","50,470","100%","92.97%","3,819","100%","7.03%","54,289","100.0%"
"Not Reported","218","","","0","","","218",""
"Grand Total","50,688","","","3,819","","","54,507",""
