"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,715","6.07%","96.52%","98","3.54%","3.48%","2,813","5.92%"
"Twenties","14,399","32.20%","94.82%","787","28.41%","5.18%","15,186","31.98%"
"Thirties","13,154","29.42%","93.11%","973","35.13%","6.89%","14,127","29.75%"
"Forties","10,079","22.54%","93.35%","718","25.92%","6.65%","10,797","22.74%"
"Fifties","3,438","7.69%","95.66%","156","5.63%","4.34%","3,594","7.57%"
"Sixties","790","1.77%","95.53%","37","1.34%","4.47%","827","1.74%"
"Seventy +","137","0.31%","99.28%","1","0.04%","0.72%","138","0.29%"
"Total Reported","44,712","100%","94.17%","2,770","100%","5.83%","47,482","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","44,713","","","2,770","","","47,483",""
