"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","403","0.85%","93.94%","26","0.68%","6.06%","429","0.84%"
"Twenties (20-29)","9,527","20.07%","92.81%","738","19.42%","7.19%","10,265","20.02%"
"Thirties (30-39)","14,678","30.92%","91.34%","1,391","36.61%","8.66%","16,069","31.34%"
"Forties (40-49)","11,476","24.17%","92.29%","959","25.24%","7.71%","12,435","24.25%"
"Fifties (50-59)","6,863","14.46%","93.50%","477","12.55%","6.50%","7,340","14.31%"
"Sixties (60-69)","3,555","7.49%","95.26%","177","4.66%","4.74%","3,732","7.28%"
"Seventy + (70 and above)","974","2.05%","96.82%","32","0.84%","3.18%","1,006","1.96%"
"Total Reported","47,476","100%","92.59%","3,800","100%","7.41%","51,276","100%"
"Not Reported","425","","","3","","","428",""
"Grand Total","47,901","","","3,803","","","51,704",""
