"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","462","1.00%","95.85%","20","0.60%","4.15%","482","0.97%"
"Twenties (20-29)","11,508","24.91%","93.48%","802","24.09%","6.52%","12,310","24.86%"
"Thirties (30-39)","14,087","30.50%","92.13%","1,203","36.14%","7.87%","15,290","30.88%"
"Forties (40-49)","10,286","22.27%","93.12%","760","22.83%","6.88%","11,046","22.31%"
"Fifties (50-59)","6,517","14.11%","94.14%","406","12.20%","5.86%","6,923","13.98%"
"Sixties (60-69)","2,657","5.75%","95.68%","120","3.60%","4.32%","2,777","5.61%"
"Seventy + (70 and above)","674","1.46%","97.40%","18","0.54%","2.60%","692","1.40%"
"Total Reported","46,191","100%","93.28%","3,329","100%","6.72%","49,520","100.0%"
"Not Reported","333","","","1","","","334",""
"Grand Total","46,524","","","3,330","","","49,854",""
