"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","767","1.52%","96.72%","26","0.68%","3.28%","793","1.46%"
"Twenties (20-29)","14,298","28.30%","93.35%","1,018","26.54%","6.65%","15,316","28.18%"
"Thirties (30-39)","15,245","30.18%","91.91%","1,342","34.99%","8.09%","16,587","30.52%"
"Forties (40-49)","10,382","20.55%","92.21%","877","22.87%","7.79%","11,259","20.71%"
"Fifties (50-59)","6,855","13.57%","93.78%","455","11.86%","6.22%","7,310","13.45%"
"Sixties (60-69)","2,348","4.65%","96.03%","97","2.53%","3.97%","2,445","4.50%"
"Seventy + (70 and above)","623","1.23%","96.89%","20","0.52%","3.11%","643","1.18%"
"Total Reported","50,518","100%","92.94%","3,835","100%","7.06%","54,353","100%"
"Not Reported","216","","","0","","","216",""
"Grand Total","50,734","","","3,835","","","54,569",""
