"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","403","0.85%","93.29%","29","0.78%","6.71%","432","0.85%"
"Twenties (20-29)","9,616","20.31%","93.06%","717","19.18%","6.94%","10,333","20.22%"
"Thirties (30-39)","14,716","31.07%","91.43%","1,380","36.91%","8.57%","16,096","31.50%"
"Forties (40-49)","11,360","23.99%","92.22%","958","25.62%","7.78%","12,318","24.11%"
"Fifties (50-59)","6,838","14.44%","93.61%","467","12.49%","6.39%","7,305","14.30%"
"Sixties (60-69)","3,474","7.34%","95.65%","158","4.23%","4.35%","3,632","7.11%"
"Seventy + (70 and above)","950","2.01%","96.94%","30","0.80%","3.06%","980","1.92%"
"Total Reported","47,357","100%","92.68%","3,739","100%","7.32%","51,096","100.0%"
"Not Reported","424","","","3","","","427",""
"Grand Total","47,781","","","3,742","","","51,523",""
